datetime,load
01/01/2020 0:00,88.09289814
01/01/2020 1:00,76.9793231
01/01/2020 2:00,102.7112151
01/01/2020 3:00,39.3070686
01/01/2020 4:00,81.52194865
01/01/2020 5:00,113.3808873
01/01/2020 6:00,105.8398917
01/01/2020 7:00,84.08431445
01/01/2020 8:00,93.68513186
01/01/2020 9:00,136.0346363
01/01/2020 10:00,131.4410827
01/01/2020 11:00,114.9366275
01/01/2020 12:00,84.78885271
01/01/2020 13:00,113.2036912
01/01/2020 14:00,115.3755872
01/01/2020 15:00,90.19197592
01/01/2020 16:00,121.6121003
01/01/2020 17:00,84.79823832
01/01/2020 18:00,114.0746616
01/01/2020 19:00,99.22598473
01/01/2020 20:00,108.1899208
01/01/2020 21:00,113.6904659
01/01/2020 22:00,100.8131319
01/01/2020 23:00,126.4310776
02/01/2020 0:00,153.9308546
02/01/2020 1:00,116.1608567
02/01/2020 2:00,82.60276359
02/01/2020 3:00,76.94276704
02/01/2020 4:00,60.87219705
02/01/2020 5:00,112.0178698
02/01/2020 6:00,106.5909417
02/01/2020 7:00,132.7085966
02/01/2020 8:00,66.02803894
02/01/2020 9:00,83.89226977
02/01/2020 10:00,82.76642178
02/01/2020 11:00,129.9873903
02/01/2020 12:00,107.2491264
02/01/2020 13:00,58.86023342
02/01/2020 14:00,86.49777642
02/01/2020 15:00,87.81655559
02/01/2020 16:00,134.6751937
02/01/2020 17:00,118.2774284
02/01/2020 18:00,98.41339293
02/01/2020 19:00,106.6618522
02/01/2020 20:00,73.35516235
02/01/2020 21:00,103.4166802
02/01/2020 22:00,96.82336054
02/01/2020 23:00,135.0530414
03/01/2020 0:00,99.01011261
03/01/2020 1:00,99.1369173
03/01/2020 2:00,77.16892403
03/01/2020 3:00,68.28211369
03/01/2020 4:00,83.84438098
03/01/2020 5:00,96.21211949
03/01/2020 6:00,89.65542014
03/01/2020 7:00,116.8772846
03/01/2020 8:00,86.36591687
03/01/2020 9:00,104.2964372
03/01/2020 10:00,103.5020789
03/01/2020 11:00,107.4426937
03/01/2020 12:00,91.33009747
03/01/2020 13:00,126.7976622
03/01/2020 14:00,98.81367453
03/01/2020 15:00,113.2040514
03/01/2020 16:00,147.7279957
03/01/2020 17:00,83.19534191
03/01/2020 18:00,91.15451968
03/01/2020 19:00,76.75467668
03/01/2020 20:00,98.84200447
03/01/2020 21:00,115.5293809
03/01/2020 22:00,77.09470759
03/01/2020 23:00,106.3573035
04/01/2020 0:00,128.2621035
04/01/2020 1:00,119.3899407
04/01/2020 2:00,137.4561137
04/01/2020 3:00,69.53456619
04/01/2020 4:00,114.7190421
04/01/2020 5:00,93.69980497
04/01/2020 6:00,94.32761025
04/01/2020 7:00,86.7594947
04/01/2020 8:00,105.1702309
04/01/2020 9:00,104.5764665
04/01/2020 10:00,97.18420273
04/01/2020 11:00,69.97494428
04/01/2020 12:00,117.4146426
04/01/2020 13:00,104.438062
04/01/2020 14:00,85.84309925
04/01/2020 15:00,103.9851047
04/01/2020 16:00,89.74435212
04/01/2020 17:00,79.51426719
04/01/2020 18:00,120.701003
04/01/2020 19:00,74.9217132
04/01/2020 20:00,118.0658807
04/01/2020 21:00,101.8453237
04/01/2020 22:00,93.44514745
04/01/2020 23:00,99.38437072
05/01/2020 0:00,92.17075892
05/01/2020 1:00,101.3115852
05/01/2020 2:00,60.32458036
05/01/2020 3:00,115.6919624
05/01/2020 4:00,137.9158957
05/01/2020 5:00,93.59568775
05/01/2020 6:00,93.94785673
05/01/2020 7:00,97.85216721
05/01/2020 8:00,101.1593799
05/01/2020 9:00,83.4095439
05/01/2020 10:00,90.08395943
05/01/2020 11:00,113.6356234
05/01/2020 12:00,102.5040179
05/01/2020 13:00,104.3815133
05/01/2020 14:00,110.7446745
05/01/2020 15:00,117.7354089
05/01/2020 16:00,81.77024778
05/01/2020 17:00,99.882636
05/01/2020 18:00,130.5712274
05/01/2020 19:00,97.92569698
05/01/2020 20:00,119.5833323
05/01/2020 21:00,155.0437827
05/01/2020 22:00,91.46060159
05/01/2020 23:00,91.02558802
06/01/2020 0:00,114.3948958
06/01/2020 1:00,76.78367997
06/01/2020 2:00,121.5717941
06/01/2020 3:00,138.8954083
06/01/2020 4:00,131.4988147
06/01/2020 5:00,98.53360491
06/01/2020 6:00,121.0941035
