equipment_type,location,status,voltage,temperature,vibration,pressure,failure
compressor,plant3,idle,221.88558803421537,45.120246938851984,6.814828378603704,34.20083543757631,1
motor,plant2,idle,221.40016910875315,75.3000347819872,0.5971898909196636,20.126804598400668,0
compressor,plant2,maintenance,211.34875639675607,69.17552758136424,3.1521370852154016,30.714564632654678,1
compressor,plant1,idle,213.9320917662071,71.6607855407836,4.549217697822765,35.513025012088676,1
motor,plant2,maintenance,222.2618989855613,65.2575664096251,6.752023690387407,26.175521037094377,1
motor,plant2,maintenance,220.90992095233707,74.81828773182602,4.197671127864064,32.065356252251576,1
compressor,plant3,running,216.1488323383851,49.84461146463879,9.7142222528944,30.620070554195326,1
pump,plant2,maintenance,228.7833904559058,75.39008054348531,2.838990827566201,33.27690141162106,1
compressor,plant3,idle,219.9753880343403,36.62686579904406,4.015304838078718,30.069675734624198,1
compressor,plant2,idle,209.89336341119477,63.91907062994483,2.8181767603246017,35.73710987682945,1
compressor,plant2,maintenance,227.20381315770595,67.7123054775648,4.589284802321595,31.863346772104936,0
compressor,plant2,running,208.40723818531495,47.34775862813379,5.948999921097354,34.31514919117134,1
motor,plant1,maintenance,200.7656275920808,93.94889488163578,5.363461889829963,34.04891080274198,0
compressor,plant3,maintenance,220.96156789986296,73.52549819975671,3.273471037358062,36.78338089273502,1
pump,plant1,idle,209.69313331168598,63.62228088617784,7.44381926796866,25.16354480856259,1
motor,plant2,running,221.78112052846876,103.21873587958373,7.762324565674376,23.7948123496332,1
pump,plant1,running,228.16358101774279,78.30101767303368,3.600409953362046,35.21084698811372,1
pump,plant3,running,229.8450380557343,80.23072939748667,11.174167844231249,30.812656300981498,0
pump,plant2,running,224.97648195316228,71.3762481578148,2.7899258838301373,39.37234046868433,1
pump,plant1,idle,206.7393675376648,66.6310042211195,5.078540067195376,19.035945808229062,0
motor,plant1,running,212.79847950412517,77.82649817079667,5.080004896947979,29.646278127945997,0
motor,plant3,running,220.0541544988533,32.160146599134535,2.7514160478491614,29.90390783361918,0
pump,plant1,running,220.15079672729397,46.620913190023046,5.398942604240359,34.48077671154507,1
pump,plant3,idle,210.58090472134708,52.13401830014502,4.758512480891767,39.7544768705998,1
motor,plant2,idle,215.37567233918827,38.80074943316781,5.840186204040414,30.03506500074563,0
motor,plant2,running,228.10358125091014,81.68356490868625,4.998154139931499,32.10499761062056,0
motor,plant1,idle,225.0374375757667,63.1379555041583,6.60002507428117,21.066696175397574,1
compressor,plant2,maintenance,216.9154638541413,92.04945420563456,6.205861388323956,31.433828933068547,1
compressor,plant2,running,230.2965241083952,70.6240998952815,3.018795718168045,31.477982865686112,0
compressor,plant1,idle,206.73490506265526,60.60871979254039,4.398452535165764,27.14902031681881,1
pump,plant2,running,228.22202382785332,71.50297145599663,3.366554065169275,31.492911340345035,0
compressor,plant1,running,226.8459375352188,89.17844416237867,8.33436677644762,31.24543969089538,0
pump,plant3,idle,227.46692343647,68.75617058694053,6.9106125766726825,38.087539034024715,1
pump,plant3,maintenance,222.9646164129965,91.21480484705714,5.660269625870066,26.19676272430485,1
compressor,plant3,running,213.46751479200606,88.95480197657366,6.069830058833586,25.565725431856237,1
pump,plant1,maintenance,225.9199182091849,63.90093128112112,4.770853375188151,25.743322046664925,0
compressor,plant1,idle,215.84378820032077,65.15431931848482,5.307055573682503,27.823124845327644,0
compressor,plant2,running,222.05238153789597,64.3247136804173,3.504445006134441,22.031713091204846,0
motor,plant2,idle,212.72100561345883,54.419505745414014,3.6734606935718563,28.68998479383884,0
compressor,plant2,idle,216.55108607944246,50.16572621544769,6.233980283400726,30.174752900862508,0
motor,plant2,idle,218.5675098369588,64.99945033704655,2.846021811091667,37.49686034809513,1
compressor,plant2,idle,223.99723904398942,35.91196843792572,3.5934375955925217,29.376065354392274,0
compressor,plant1,running,225.6719397280323,55.392269524843705,4.54640866565172,36.3292931018405,0
motor,plant1,maintenance,236.95699411196,79.54003781348634,1.9806180991149738,34.14423703048093,0
motor,plant3,maintenance,221.4812646694702,51.39384857610082,7.0018163947317955,30.690730466209878,1
compressor,plant3,running,210.52270422031177,91.45677047718111,6.3163822553064985,29.28808728080758,1
pump,plant3,running,227.99965630506063,81.0875062746333,5.857010789969842,32.681004051781265,1
motor,plant3,maintenance,223.3763426941473,99.90263980951127,4.221163190441195,33.212527851790185,0
pump,plant1,maintenance,218.0962853391307,103.0721443136018,7.34793294355485,27.359412104766868,1
pump,plant1,running,215.9952526067864,83.2131729878052,5.817865237028721,32.93142323306035,0
pump,plant1,idle,213.81763575493179,63.211338808537484,6.975382262296184,29.548245422260855,0
motor,plant2,running,213.4854331372155,47.18363237535742,7.0918522042993715,32.726090221547054,0
pump,plant2,maintenance,207.7953425061385,49.93804314215607,4.045436250159061,38.2079095254854,0
motor,plant3,idle,229.6550992009369,101.48478853336584,3.228961965509598,28.194763055563502,0
pump,plant2,maintenance,224.34799561023823,49.6271400631124,2.990789716294714,20.07323948328035,0
compressor,plant1,idle,220.93057472394906,68.78344206169292,5.1205432975992915,29.73373831961556,0
compressor,plant3,maintenance,213.7925061628128,90.07189493988814,-0.44693525303581794,24.633047455028976,0
motor,plant3,idle,230.89368376110932,58.89348456460897,2.85758372837747,31.315298899754477,0
compressor,plant2,running,205.79364101951148,91.80236363832647,3.6105551382321632,24.96240352277124,0
compressor,plant3,running,218.6900709517385,71.06571052932517,3.7595743481653265,29.446224147315288,0
pump,plant2,idle,229.82146367425443,75.30209225556666,6.19304638702739,38.152604841010685,0
motor,plant2,idle,200.07371579227785,67.71240595317217,2.1324932020708367,39.16108687561094,0
